x y mag_blue mag_red color
6187.565 3703.349 20.102 19.648 0.455
3264.289 3705.503 16.437 15.938 0.499
5719.854 3706.366 18.114 17.473 0.641
6354.074 3722.433 20.113 19.681 0.431
5734.394 3725.577 19.433 18.966 0.467
5415.596 3734.514 19.783 19.358 0.425
3696.354 3741.604 19.814 19.373 0.441
3865.682 3746.648 19.610 19.153 0.457
5736.674 3746.573 22.180 21.582 0.598
4721.288 3773.373 19.394 18.909 0.486
4475.113 3777.043 15.100 14.441 0.659
2558.739 3789.873 20.049 19.610 0.439
4663.369 3791.914 19.982 19.559 0.423
4528.915 3793.796 19.459 18.979 0.480
5114.236 3793.566 19.970 19.558 0.412
4412.821 3796.620 18.486 17.874 0.613
4213.316 3798.864 20.138 19.712 0.427
5596.208 3805.925 19.194 18.648 0.546
3136.001 3807.400 20.093 19.652 0.440
4929.675 3806.696 20.019 19.571 0.449
4659.281 3840.717 19.389 18.898 0.491
4875.314 3841.385 19.235 18.721 0.514
7571.881 3847.433 20.078 19.661 0.416
3677.078 3854.484 19.861 19.429 0.432
4822.291 3863.899 19.931 19.515 0.416
2877.914 3868.570 20.142 19.706 0.436
3500.720 3869.380 16.834 16.138 0.696
3433.649 3870.751 20.078 19.646 0.431
7238.979 3877.040 19.588 19.149 0.439
7317.356 3880.680 16.811 16.706 0.105
4742.545 3881.816 20.023 19.605 0.418
6370.092 3907.506 17.657 16.987 0.670
4900.927 3910.991 20.113 19.666 0.447
3533.539 3952.396 20.031 19.599 0.432
6711.790 3955.094 19.959 19.531 0.428
4700.515 3958.217 18.551 17.939 0.611
7625.986 3974.351 17.177 17.171 0.006
6028.572 3992.970 20.068 19.641 0.427
7362.343 4021.336 19.924 19.500 0.424
2331.410 4024.019 16.736 16.032 0.704
4765.453 4032.241 20.062 19.643 0.419
6469.686 4037.267 19.951 19.522 0.429
3399.624 4052.240 18.575 17.951 0.624
3241.044 4072.548 19.673 19.224 0.448
5024.315 4074.108 18.978 18.394 0.584
5794.239 4073.725 18.417 17.791 0.626
3504.098 4080.200 18.429 17.802 0.628
5243.591 4093.220 19.453 18.997 0.456
5630.048 4111.237 18.238 17.593 0.645
4248.596 4111.752 16.366 15.654 0.712
5245.342 4113.459 19.846 19.445 0.401
6999.734 4121.933 19.985 19.561 0.423
3878.367 4127.253 19.775 19.337 0.438
2700.802 4127.632 19.853 19.412 0.441
5295.690 4132.658 20.187 19.776 0.411
7422.459 4136.340 19.604 19.156 0.448
5873.005 4136.889 19.702 19.263 0.439
5421.570 4141.547 19.873 19.452 0.421
5952.740 4151.294 19.264 18.738 0.526
4685.760 4152.462 19.381 18.894 0.487
3896.760 4158.342 19.388 18.894 0.494
3126.936 4168.447 17.983 17.337 0.645
5886.812 4173.894 20.015 19.564 0.451
2523.362 4174.568 18.390 17.822 0.568
7461.840 4250.336 19.923 19.500 0.422
5654.040 4256.918 19.438 18.968 0.470
4617.468 4258.735 19.891 19.465 0.426
5375.226 4278.203 20.119 19.688 0.431
5422.760 4280.060 17.909 17.248 0.661
4433.160 4282.271 18.260 17.630 0.630
5111.792 4284.026 19.570 19.114 0.456
6359.062 4299.035 19.589 19.134 0.456
4137.571 4317.458 17.755 17.109 0.646
6925.898 4327.590 19.755 19.327 0.428
5644.400 4335.850 18.112 17.478 0.634
5618.804 4336.517 19.233 18.703 0.530
5824.502 4339.138 20.078 19.654 0.424
4120.790 4342.712 18.247 17.617 0.630
6726.856 4345.873 20.077 19.628 0.449
5960.325 4350.781 19.965 19.547 0.418
2569.438 4353.796 19.973 19.534 0.439
7264.956 4357.798 19.511 19.048 0.463
3784.914 4370.452 20.107 19.675 0.432
3874.014 4391.608 20.018 19.578 0.440
3438.010 4395.589 20.134 19.698 0.436
4402.015 4398.997 18.644 18.029 0.616
4973.418 4399.349 19.814 19.388 0.426
4060.282 4406.907 16.400 15.735 0.664
2212.963 4410.298 19.970 19.534 0.436
4746.313 4410.104 20.136 19.714 0.423
6377.630 4409.903 19.648 19.198 0.450
6565.360 4411.004 19.853 19.422 0.431
3187.823 4426.648 19.213 18.777 0.435
6850.729 4429.407 19.994 19.572 0.422
5995.472 4429.945 20.030 19.604 0.426
5963.145 4435.008 15.969 15.224 0.745
4049.959 4440.263 19.473 18.992 0.481
5663.431 4443.370 18.930 18.483 0.448
3887.121 4445.876 19.957 19.527 0.430
4969.165 4448.627 17.126 17.114 0.012
4852.066 4470.523 19.866 19.437 0.429
6170.685 4474.360 20.113 19.653 0.460
4101.738 4474.487 19.954 19.520 0.434
3689.659 4476.305 20.141 19.704 0.437
4161.239 4485.897 19.987 19.558 0.429
3671.526 4493.546 19.957 19.527 0.430
3610.554 4503.738 20.158 19.726 0.432
4361.529 4507.334 19.453 18.975 0.478
2913.297 4513.687 19.737 19.285 0.452
4932.734 4526.301 19.308 18.791 0.517
5452.249 4526.018 19.423 18.940 0.483
4421.289 4532.341 20.154 19.729 0.425
5038.133 4538.264 19.973 19.545 0.428
3301.206 4539.949 20.007 19.573 0.434
6054.679 4541.863 19.980 19.580 0.399
2092.142 4543.854 19.973 19.528 0.445
3781.302 4544.914 19.656 19.209 0.447
3174.426 4547.095 20.141 19.703 0.439
3448.414 4552.803 19.931 19.496 0.435
5637.205 4558.861 20.030 19.568 0.462
6135.058 4561.292 20.099 19.673 0.427
5602.002 4561.910 20.027 19.592 0.436
6697.818 4568.992 20.030 19.601 0.429
5163.624 4569.818 19.729 19.279 0.450
2347.786 4570.829 19.069 18.483 0.586
5704.438 4572.800 19.212 18.654 0.559
7861.831 4581.238 20.074 19.642 0.433
4392.792 4583.263 20.161 19.718 0.444
4560.547 4583.408 17.301 16.593 0.709
4114.287 4588.208 18.084 17.439 0.644
4963.611 4596.977 19.245 18.727 0.519
7830.618 4607.741 19.547 19.086 0.461
5547.420 4615.355 19.940 19.509 0.431
2665.234 4617.908 19.470 18.979 0.491
6339.715 4619.947 19.595 19.132 0.462
5944.129 4626.330 20.118 19.682 0.436
